Country,Review Text,year_posted,month_posted,month_ex,year_ex,review count,rating,rating_binary,Country_grouped
GB,I ordered a phone case from amazon and the case wasn’t even the right one it took so long to deliver and now these prcks haven’t even giving me the right one fck amazon,2024,9,September,2024,2,1,0,GB
GB,"Often buy through Amazon and never really have any problem . Have had drivers leave parcel at front door in full view of the road and then return to van without even knocking or ringing the bell. but still surprised at all of the negative reviews.My complaint with my recent order is the fact it did not come in ANY packaging.Trainers for my adult son arrived with NO packaging at all, just in their shoe box which was not even taped down.The lid was actually open.I had left a note on door to say please leave over gate if I’m out, so glad I was back home as it was pouring with rain and would have had sodden box and shoes.Guess this is down to the seller.",2024,9,September,2024,102,4,1,GB
US,"This company may have quanity but not quality and customer service is pathetic. Try to resolve an issue, can’t gotta talk to the computer. This is not customer service, but hey Bezos enjoy that new Gulf Stream while your Customers goes elsewhere for there goods. ",2024,9,August,2024,1,1,0,US
GB,"Amazon locked my account, no idea why, sent an email saying that after completing form, which i did, they would be in contact within 24hrs. I had no access to prime or amazon music while it was on hold . after 26 hours I attempted to contact them.No callback service available so I found an american number and was transferred to a call centre . I was told that it would now be 48hrs !  no explanation, refused access to a supervisor or information about the complaints procedure, (  I could hear someone in the background instructing the call handler to finish the call) I was on the phone for over 36 minutes after being told several times to ""wait 2 minutes"".   This is not customer service as they claimed . I wont be wasting my time with them again and will go back to shopping in the more traditional stores .",2024,9,September,2024,8,1,0,GB
IN,I ordered 2 sets of Cushions. Each set had 5 numbers of cushions.The delivery guy just delivered 1 set only. The stupid unfriendly app does not have any place to capture it. Inspite of putting it in product review and delivery review no one from the company is interested in resolving my concern. I rated 1 star because there is no scope to score less than that here.,2024,9,August,2024,1,1,0,IN
GB,"I have ordered spray glue through Amazon, the item arrived damaged and unusable, reading customers view with similar problem the seller won't pay for return the item. tried to write view about this item the message I received from Amazon was "" this account has not met the minimum eligibility requirements to write a review.Amazon policy sweep the dirt under the carpet.",2024,9,September,2024,49,1,0,GB
CA,I will NEVER get prime again. When I pay for prime I expect an order within days not months. The customer service stinks with Amazon.,2024,9,September,2024,2,1,0,CA
GB,"For the last 2 - 3 weeks the Amazon delivery driver has NOT been complying with delivery instructions. He leaves parcels/packages outside my front door (even in the rain), does NOT ring the doorbell & drives off.I've complained to the Customer Service Centre 4 times, to No Avail. On my front door is an A3 sign saying ""PLEASE LEAVE PACKAGES IN THE UNLOCKED PORCH"".AMAZON HAS NO CONTROL ON WHO IT EMPLOYS & does Not give TRAINING.",2024,9,September,2024,39,1,0,GB
US,"As a seasoned Amazon customer for nearly 30 years, I'm compelled to express my unwavering admiration for this company that will rule the world. Amazon consistently offers the most competitive prices across a vast array of products, ensuring that shoppers can always find the best deals. But what truly sets Amazon apart is its unparalleled customer service. The staff is incredibly responsive, knowledgeable, and dedicated to resolving any issues promptly and efficiently. Whether I've encountered a problem with an order, had questions about a product, or simply needed guidance, Amazon's customer support team has always exceeded my expectations. They go above and beyond to ensure satisfaction..Amazon's commitment to customer satisfaction is evident in every interaction. I have always felt confident and supported when shopping on Amazon. I highly recommend Amazon to anyone seeking a reliable and customer-centric online shopping experience. ",2024,9,March,2024,9,5,1,US
GB,"Get so fed up with Amazon.  I pay annually for the 'privilege' of free next day delivery etc. Nine times out of 10 I get to checkout and find that the goods offered as next day delivery could actually be any number of days, even weeks away.  Today I've been waiting for a small package which should be delivered by 10pm, it's now 9.20pm and tracking shows it's not even despatched!  Amazon customer dis-service robot says it will  be delivered today although they only have the same information that I  have. Tomorrow I  shall receive the usual ""it's been delayed"" email from Amazon and I  will refuse to take delivery when it eventually arrives. There's no compensation for lost or delayed items, we pay for a poor, unwieldy service.   Not good enough Amazon!",2024,9,September,2024,76,1,0,GB
US,Customer support is horrible the worst in the industry Their phone support went to shXXT I will cancel my Prime and deal with another company—Amazon rather than farm their out support. DO NOT DEAL WITH THEM,2024,9,September,2024,7,1,0,US
US,"If I could give Amazon a zero i would. I have a PO Box so I filled out Amazon's delivery instructions but they can't seem to follow the hours of operation of the UPS store where my PO Box is located. They have tried to deliver 13 of my orders after the UPS store was closed since January. I'm done with Amazon, prices aren't as good anymore and since I'm driving to thr UPS store to pickup my packages it isn't saving me money. Ever since they stopped using UPS and Fedex to make their deliveries their service has sucked!",2024,9,September,2024,1,1,0,US
US,I bought a RV exhaust fit cover canceled it same day because it was the wrong one I've been told two times it's going to be there back in my account the $14.05 in 3 to 5 days called back after 3 to 5 days told the same thing now I called back I'm told that it was never charged even though I'm showing it right here on my bank account has charged and was told twice it was coming back..... Amazon just effectively stole my money! They've gone to trash company! ,2024,9,September,2024,2,1,0,US
US,They do such a poor job of tracking your returns! I have tallied up nearly $1000 worth of returns that they charged me for even though I returned the items. Many in their original packaging or with original manufacturer box that it came in. I am going to figure out how to get away from Amazon and rid it from my life. I can't believe how much they have stolen!!!,2024,9,September,2024,1,1,0,US
AU,"Absolutely useless. Wants credit card details for payment before anything happens, NO other payment options such as PayPal or any of the others we have here in Australia. Definitely avoid. Stick with Better online auction buying platforms. ",2024,9,September,2024,2,1,0,Other
US,1) Product reviews are mostly bots and they don't care2) They don't ever pack my stuff right. I've had to return 2 things in the past month alone3) If you leave an honest review about a company and the company doesn't like it they will have it removed.4) The way they treat their employees is laughably terrible,2024,9,September,2024,7,1,0,US
GB,"Soooo annoyed with Amazon rubbish delivery service. Placed an order yesterday, delivery due today, paid premium delivery cost and now on a Saturday night I've got to wait until between 8pm and 10pm. ITS SATURDAY NIGHT AND I CAN'T GO OUT. WILL BE USING OTHER ONLINE SERVICES FROM NOW ON. SOOO ANGRY 😖.Even tried calling customer services and just got through to a daft chat bot. Can some young entrepreneur reading this please come up with a better more efficient solution/ service that not only looks after its staff but also provides a better delivery service. ( Take it to Dragons Den ) Really, two printer cartridges and I've potentially got to wait until 10pm on a Saturday night?  URRGGGGHHHH😖",2024,9,September,2024,14,1,0,GB
GB,"What a horrible experience with amazon where they refuse refund you when you bought an item, they send you the wrong item out and when it comes to getting a refund they just keep saying 7days. Now this item wasn't even the same brand, was a cheap 16inch one where mine was 18 inch monster not going into detail of how much but it was expensive. If you been in the same situation before what did you do because I'm getting no where. I've also spoken to them on the phone and they hung up on me, twice. This conversation has happened every 7 days since the 16th July, just going round in circles.",2024,9,July,2024,1,1,0,GB
GB,"My product was left on the street porch where anyone could pick it up and steal it. I was at home all day waiting for this but the person handling my delivery never bothered to even ring the door bell or anything, just left it outside.I am very disappointed in such service. If it wasn't for the email notification letting me know my parcel had been delivered, I wouldn't have know to look for it as fast as I did.I highly recommend NOT using their delivery services. They are the worst.",2024,9,September,2024,1,1,0,GB
AE,"Amazon has the worst delivery service I have ever experienced. Their coordination and communication are severely lacking. I provided a designated delivery schedule for my order during office hours, as no one is present to receive packages at night. Despite this, they attempted to deliver my order at night when no one was available. Even worse, they threaten to leave the package outside the office. I strongly advise against leaving items unattended; it creates unnecessary risk. They continue to make promises and apologies, saying it won't happen again, yet the same issues persist. The information in the app often doesn't match reality. I placed an order, but there has been no update on my delivery, despite my follow-up inquiries. As a Prime member, my experience has been disappointing; it feels like there is no priority for members. Overall, I am incredibly frustrated by their service, and it seems that they do not care about their customers at all.",2024,9,September,2024,2,1,0,Other
GB,package was delivered but i didn't hear a knock on the door and only noticed the email half an hour later. The email said the package was handed to me but was left on the pavement outside my property.luckily it was still there and not taken by anyone.,2024,9,September,2024,4,1,0,GB
GB,CUSTUMER SERVICE IN THE UK SO GOOD!!! MY DAD WRONGLY ORDERED SOMETHING TO MY ADRESS. WE GOT REFUNDED IN A MATTER OF SECONDS!! USE THE CUSTOMER SERVICE CHAT IN THE FUTURE IF YOU NEED SOMETHING.,2024,9,September,2024,1,5,1,GB
GB,More lies from this company and thier couriers.i was in the front garden at the time it was said to be delivered!!!!!!! No sign of any delivery all day. UTTER LIES. I will NEVER use Amazon again. I have deleted everything to do with them. CRIMINAL COMPANY,2024,9,September,2024,14,1,0,GB
US,i made a purchase of a seal plush that was viral on the internet. instead of going to the website they made it i went to amazon. Service and quality were both good.,2024,9,August,2024,1,5,1,US
NZ,"Yikes!  Terrible customer service.  Ordered 6 bottles of vitamins, and only 1 arrived.  Took a video of unopened bag clearly showing sealed and only 1 bottle inside.  After wasting 40 minutes chatting to an agent, told I need to return for a refund, which may take 1-2 months!  Instead of just sending the missing bottles.  Crazy!",2024,9,September,2024,11,1,0,Other
US,"""I have a foreign name, and yes, I am foreign. But that does not excuse the abysmal behavior of Amazon's customer representative. After being connected to an Amazon agent, she asked for my name. Once I said it, she immediately transferred me, without asking, to a Spanish-speaking representative — and I do not speak Spanish.Was she instructed to assume that all foreigners are Latinos, or that none of them speak English? Or were those her own biases? Either way, this episode reflects terribly on Amazon",2024,9,September,2024,3,1,0,US
GB,I can’t fault their delivery service. From the purchases I’ve made I’ve had one occasion where they sent the wrong item.  They were fantastic in lockdown and still continue the same service. Customer service is excellent too ,2024,9,September,2024,50,5,1,GB
GB,"Customer service is circular, frustrating and completely unhelpful. Even ringing the company directly requires you to log in on a computer or phone which is impossible to do if that is the issue you are ringing about. Intentionally and maliciously obtuse.",2024,9,September,2024,2,1,0,GB
GB,My account was hacked last night. I've tried six times now to get a call back from customer service. Every one has been cancelled. I was going to write more - until I saw what a dire score Amazon have got on here already. Onlookers - be warned.,2024,9,September,2024,12,1,0,GB
AE,"Amazon have zero control over 3rd party sellers. They take no responsibility for orders. Despite being charged for shipping I had to pay additional to the courier company to receive the order, as 3rd party seller chose a shipping option that didn't cover delivery door to door. I then received an open box product which was not mentioned and again amazon did nothing. To send the order back I need to pay again for the shipping, again amazon did nothing. Absolutely disgraceful.",2024,9,August,2024,1,1,0,Other
US,"I typically don't take the time to share reviews, but my recent experience with Amazon has been deeply frustrating and deserves to be addressed.As an HVAC business, I rely heavily on timely and reliable deliveries. I placed an order for a 16"" duct, which was crucial for one of our ongoing projects. The order came with a guaranteed delivery date that Amazon failed to meet. After several unsuccessful attempts to reach Amazon (with no accessible customer service contact numbers or direct support options), I was forced to contact the third-party seller directly. The seller assured me that the product had been dispatched on time and advised me to resolve the issue with Amazon. Despite being provided with a phone number that I could not find anywhere on Amazon’s platform, I eventually managed to speak with an Amazon representative. I was informed that the product had been lost, and while a refund was issued, the real issue remains unresolved.I need the material, not just a refund. When I attempted to reorder the product, I discovered that the price had increased by $150 — an unjustifiable increase given the circumstances. I explained the situation to the representative, emphasizing that I had already quoted my customer the original price and could not go back to them with an unexplained price hike. In summary, my experience with Amazon has been one of misleading pricing, unreliable delivery, and a lack of customer support. This has caused significant delays for my business and damaged my relationship with my customer.I expect Amazon to resolve this by honoring the original price and ensuring the prompt delivery of the product.Sincerely,  Alex Garcia  Attic Crawl Inc.",2024,9,September,2024,3,1,0,US
IL,"I’ve been using Amazon for several years, and it consistently delivers a great shopping experience. The website is user-friendly, making it easy to find what I need quickly. From books to electronics, the variety of products is impressive. The customer reviews are helpful in making informed decisions, and I’ve found the delivery to be fast and reliable. In the rare instance I’ve needed to return an item, the process was smooth and hassle-free. Overall, Amazon provides convenience and value, and I highly recommend it to others.",2024,9,September,2024,9,5,1,Other
NL,"I submitted every document they requested, and they reply me with ""We closed your account""?? They said contact customer service if I think this was a mistake, but the thing is THERE IS NO CUSTOMER SERVICE if I dont have an account! Gotta do better uncle Jeff",2024,9,September,2024,2,1,0,NL
GB,"You could say a lot of things about Amazon, but historically they have had very good customer service. This seems to no longer be the case. I've wasted an hour and a half on an online chat and a phone call. Had to repeat myself many times and was given inaccurate information - total waste of time. In the end they gave me a £5 gift card in recognition of my poor experience, which I found a bit insulting under the circumstances",2024,9,September,2024,31,1,0,GB
US,I placed a order September 9 2024They said I get it on September 12 on the day delivery day I get a text saying the delivery day has changed to September 18This is not going to work for me I am a prim member and I have to wait this long. Well I don't want it then but I have wait until September 19 to return it .I can understand the next day .this is not the way to do business ,2024,9,September,2024,4,1,0,US
US,"I returned a product using my Amazon Prime card, product was return and a refund should have been issued to my Prime Card, but no they went and issued me a gift card without any notification through mail, email or account. Never sent me a code or card in case I wanted to use my funds to my balance. What kind of service is that. If I would have used my bank card or any other credit card how would have my funds been returned? I went to make a quick purchase again using my prime card and the site went using my gift card without giving me an option on my card. Now that I innocently used the gift card they don’t want to send me a gift card or apply remaining balance to my account where it should have been placed from beginning. How unprofessional and frustrating this is when any time there is a return it is to be given back to the card used not how ever they chose. If I would have paid cash then yes I can understand a gift card but NO CASH WAS USED. I want my funds added to my account or a gift card sent out that can be used to make payment to my card. What horrible service Amazon is giving. ",2024,9,September,2024,1,1,0,US
IN,Amazon india the worst customer service company compared to amazon anywhere else in the world. Agents are bloody third class idiat. They know nothing and they will waste ur time understanding ur problem. Amazon india is selling duplicate products. They dont offer hassle free refunds. I purchased a table fountain from themAnd the day i opened the box it was defective. They agreed to pick up the unit the next day. As expected they did not and when contacted they put a status that customer refused to the deliver the product. Just see these idiat. Then when i contacted them they said investigation is on and it will take another 4 days to resolve the issue. After 4 days when in contacted these rascals they are saying that their investigation is complete and nothing is wrong and they cannot helpWith the refund. What should i say now? Just see their bloody service. They should be taken to court for cheating and fraud moral of the story do not i repeat do not buy expensive products from amazon better go to a showroom and get one u can feel touch and get a view of the unit and decide. With amazon u will face a hard time. Third class e commerce site never to buy again,2024,9,September,2024,4,1,0,IN
US,Horrible horrendous company. Amazon Fresh just delivered damaged products and expired item and refuse to refund me unless I send pictures. They keep delivering my order and not following instructions. I’m going to Walmart delivery service if they don’t get it together. This is so frustrating!,2024,9,September,2024,3,1,0,US
US,Today September 4th 2024 finding out that your Amazon employees have rigged Alexa to actually say when asked about Donald Trump that they can't comment on politics but when asked about Kamala Harris they go into a whole bio. this is absolutely disgusting ! This will definitely influence my buying from you people. You probably don't give a damn whether I buy from you or not but hopefully there's others that feel the same way. Disgusting,2024,9,September,2024,1,1,0,US
US,"Ordered August 30th, the first one, for an elderly relative who can no longer hear the phone ring. Nurses cannot get a hold of him daily. Amazon said ""It got lost"", then empty promises from Amazon Customer Service and Supervisors. Waited and then decided to order another on Amazon. My profile specifically says ""Open 730 AM to 900 PM"". That Delivery person tried at 612 AM. HELLO READ YOUR INSTRUCTIONS PS, that one is now lost, again Amazon Customer Service is useless...…..""3rd Time They Said Tomorrow"" It is now September 5, 2024 - Think they exceeded their business model. Walmart, Target and eBay are quicker and now carry almost everything. ",2024,9,September,2024,1,1,0,US
US,"I bought outdoor water timers for garden and yard from Amazon, and the cheaper foreign brands have failed. So did many of my plants. I read the manuals and they say that the maximum operating temperature is less than 110 degrees Fahrenheit. Amazon wouldn't refund my money, I reached them by phone and told them that Amazon needed to discontinue selling products that are not rated to be used in regions that experience higher temperatures than stated in product manuals. This is going to be a huge problem in the future, plastics, electronics and other temperature sensitive outdoor products will degrade or stop working and retailers should make operating temperatures a basic factor in choosing products to sell to consumers. In 2024 Phoenix, Arizona had 64 days when temperatures were 110 or above. Lawnmowers, outdoor equipment, hoses, lawn furniture and other products will have to be modified to withstand higher temperatures or they are going to fail or wear out much sooner than in the past. Geologist in Arizona",2024,9,August,2024,16,1,0,US
SE,"I purchased a $10 CPU cooler, the seller was Amazon themselves. I should've gotten the fan itself, thermal paste & backplate, but all I got is the fan.I was suspicious the second I realized I just got a fan, but I thought, maybe it's supposed to be like that (it's not) and then I applied thermal paste on my cpu, and tried screwing the cpu cooler down, but it didn't work. I need the backplate to screw it down.There is no option to actually contact support, I can either get my money back or a new product, both options require I send the product back. I do not get compensated for the expensive thermal paste of my own that I used.I'm writing this part a while later, I have sent the package back to where it came from, you can check on dhl.se this number 7135563356I also have a receipt where it said I'm returning this from DHLThey took a while to update anything, for the first nine days, it said I haven't even dropped of my package yet but I have. I got my money the next day.Don't give Amazon the benefit of the doubt like I did, just buy from websites with convinient money back policies. I told the manufacturers about Amazon too.What should Amazon have done: Send either a whole product, the missing parts, or give me my money back, without requiring me to ship the item back.",2024,9,September,2024,19,1,0,Other
GB,I have had nothing but problems with Amazon for over a month where I sent a fire tablet back to them to be repaired under warranty but then they decided to replace it. But 6 weeks later I still have not received a replacement. So I am now £100 down for a tablet I ain’t got ,2024,9,August,2024,1,1,0,GB
US,"1.7 Rating at this time of this review, really? I have no problems with Amazon. There is a huge selection, the price is generally lower but not always, shipping is great, and returning things is easy. I am very concerned about Alexa though, it is extremely biased, which is a huge concern as people stop doing research and rely on these devices to tell them what is ""truth.""I would also add that allowing Chinese products that follow neither the metric nor standard measuring systems should be indicated in a list or else the seller gets a warning. ",2024,9,June,2024,31,4,1,US
GB,"Drivers don't bother knocking/ringing the bell, even when you're clearly in. Left £500 worth of electronics at the end of my drive (next to the pavement) of a busy road. Won't be using again. ",2024,9,September,2024,5,1,0,GB
DK,If I could give zero stars they would get. The worst piece of shiiiiit in the univers. Ordered a megazord power Ranger robot in April and somehow they dont manage to get it to me. Seems like I Can't even get a refund now ? Dont buy your stuff on Amazon. Its shi.. shi.. shi... end of freaking tour Written by Peter ,2024,9,September,2024,2,1,0,Other
US,Terrible They Dont Care if they Lost Your Package terrible Refund & Replacement Policy if they see that a Fulfillment center lost my package they should contact the facility who lost my package or send a replacement if they already know it was lost doesn’t make any sense this company has working employees that are nothing but thieves and customer service is horrible always telling u to wait instead of them fixing the problem knowing if they already lost a package from DBK4 Fulfillment center My Tracking Show no update and they already know my package was lost they love to make people upset honestly terrible company Tracking: TBA315683138460,2024,9,September,2024,39,1,0,US
JM,Absolutely horrible service and quality of items. No regard for customer satisfaction of sense of responsibility for customer satisfaction. Does not want to give refund for faulty poor quality items and are the absolute worst at helping customers with issues. Bought a backpack that started breaking just less than a week after use and the refuse to grant me a refund. That's is so unacceptable and disgusting ,2024,9,September,2024,1,1,0,Other
DK,"Absolutely terrible user experience in EU!3-6 month delivery time on standard items ""dispatched by Amazon""?!And IMPOSSIBLE to get in contact with ""customer service"" (probably they have no such thing!)Furthermore the site is flooded with Chinese crap - and I'm not sure how to see what is copies and what is real branded products.Update Sep.6th: Although Amazon still completely ignores me they have now seemingly shipped the majority of the order - so only one item remains with looong delivery time. At least that indicates to me that /someone/ is reading the feedback and is indeed considering it. I'll give them a star based on that assumption alone...",2024,9,August,2024,79,2,0,Other
