,Country,Review Title,Review Text,year_posted,month_posted,month_ex,year_ex,review count,rating,rating_group
16,GB,Fraudulant behaviour ,"I put onw star because I can't leave a zero ...I ordered an item for £59.99.. it arrived on  time but wasnt suitable so I sent it back , it was refunded to my gift card account , which i didn't  request..however,  as I was going to order a replacement item I didnt realy question it as I was still going to spend the money ..The 2nd item arrived and was also not suitable ,  so I returned this as well.The refund has been at least 2 weeks now and I've still not received it,  but had an email saying it will be coming and going into my gift card account ...,This is not what I wanted , this is my money and after two phone calls lasting over an hour they're  all saying there's nothing they can do !!!!!. Amazon are fraudulently holding  my money ,, it should be refunded to my credit card but that say they won't/ cand do that..This is theft .Amazon has dropped lower than some dodgy market salesman ..",2024,09,September,2024,16.0,1.0,low
17,CA,Tired of delivery time lies,Once again my delivery is late with a message saying “we’re so sorry”.I’m so tired of this company lying about delivery times. Absolutely nothing shows up when it says it will. I’m starting not to think that prime is worth it. I can get free delivery pretty much anywhere.,2024,09,September,2024,1.0,1.0,low
18,US,AMAZON IS GARBAGE ,"Amazon is the GARBAGE company ! When it comes to refund ANAZIN WILL STEAL YOUR MONEY & GIVE YOU B.S They will escalate it to an appropriate team & itll take 2 business days for someone to get back but no one does ever. You call back again & they tell you the same B.S. If you complain they will transfer you from one dept to another until you’re tired. Amazon just doesn’t give money back for returned items. They’re the worst co when it comes to returns. They give you such a hard time, you don’t want to shop there again. ANAZON IS CROOK, DISHONEST, SHADY, LYING, MANIPULATING HARASSING COMPANY. Stay away and don’t give this billionaire owner to take advantage of you ",2024,09,September,2024,6.0,1.0,low
19,US,I bought running boards for my Jeep and…,"I bought running boards for my Jeep and they sent me ones that have already been used so when I called them in what ever country their customer service in and was told they would be replaced, it took another week to get what I had already paid for... Now I have been trying for over a week to have the used ones picked up and they keep telling me they will get (NOT) I am on the phone with their co called customer service again trying to get this package picked up...",2024,09,September,2024,1.0,2.0,low
20,GB,💩 show of a company ,"I think I'll be cancelling amazon prime after this latest debacle. Nothing seems to work in this hell hole of a country. I had previously given amazon a good review (which was taken down because I'm a computer program apparently) but since giving the good review, amazon have decided that they can get away providing a substandard service bringing them in line with rest of the detritus operating in Britain today. I am becoming very weary of on-line shopping in this country, it has become a time consuming nightmare and I have never once been offered compensation for the time stolen from me, as a result of their rank, and outright incompetence.",2024,09,September,2024,10.0,1.0,low
21,GB,Amazon refuse a review from my account,"Bought a AIMOONSA 64gb MP3 player. Previous had failed after several months use, this one has proved impossible to upload music.  Amazon REFUSE to allow myself to place a review of the product on their site, rather suggestive of the dubious company I've always thought Amazon to be",2024,09,September,2024,15.0,1.0,low
22,US,Amazon customer service has gone…,"Amazon customer service has gone downhill for years... the latest thing these  ""customer service"" representatives are doing is tell you ""we can't help you so we're gonna terminate the call"" and then hang up. How is this customer service at all?",2024,09,September,2024,1.0,1.0,low
23,US,amazon is trash,"amazon has continuously ripped of millions of people,promising 2 day,same day etc and cant perform.Then when you say something they want to give you 2 dollars for your two years worth of late or absent order,they are ridiculous .",2024,09,September,2024,2.0,1.0,low
24,US,They lie about shipping times,"They lie about shipping times. Promising delivery on a specific day and never receiving it. items being lost or not shipped. Prime is also a joke. Making promises they can’t keep, and then being a jerk about it when you complain. ",2024,09,September,2024,1.0,1.0,low
25,US,Enter at your own risk ,"I ordered 200 dallors worth of items from Amazon. I reached out repeatedly for help being 1 product from my order was not delivered. The guy says they won't refund ( I'd just reorder it anyway duh I wanted it ) or replace it ( as well if you try this method online it requires you to send back original product ,if I did not ever receive the product , how do I send it back ?) in the matter of 10 minutes he did a through investigation and sees that it was delivered due to weight of package and stamp and whatnot. I feel UPS delivery guy made a mistake or Amazon didn't  package it for delivery in the first place.  But I'm out 71 dollars and am thinking twice about ordering from Amazon or shipping with UPS. ",2024,09,September,2024,1.0,1.0,low
26,ZA,Customer service is very poor,"Customer service is very poor, with someone called ""Gene-an"" being very cheeky and straight up ending the support chat.",2024,09,September,2024,8.0,1.0,low
27,GB,No matter what you Write in your email…,"No matter what you Write in your email request to Customer service , they will not read a word of it. The will send you machine generated garbage with couldn't help anyone.9 times in a row I emailed the same elaborate email. They came back with the same unhelpful garbage & obviously did not read my mail ",2024,09,September,2024,12.0,1.0,low
28,GB,Diff to contact / cant solve simplest of issues,"Many orders completed with no issue. Needed a photo frame , located one, in stock,  but system flatly refused to deliver to any address or pick up and provided NO reason why. 45 minutes to find CS number - cut of twice, appaling lines, after another 45 minutes CS unable to identify issue fed up with being left on hold so ended call contacted the manufacturer direct, ordered the frame ( same price but paid a bit for delivery) and advised their sales team they could be losing sales due to Amazons system. How good any business model is is really identified and defined by how it deals with brand and customer support & issues. As a long time prime customer I am appalled at Amazons woeful system of uncontactable, cannot communicate with,  cannot understand, tick box customer support.. It is of the VERY worst kind.",2024,09,September,2024,20.0,2.0,low
29,GB,Amazon delivery system is complete rubbish,"Amazon products are great but their customer service and delivery process are totally useless and worse for those functions than any other company that I know. My wife and myself have severe mobility problems and it is dangerous for us to try to pick deliveries from the floor of our front porch. Which is what we have to do when Amazon throws our parcel on the floor, take a picture and then run without even ringing the bell. It is not possible for me to complain on line and long winded calls to some customer service appears to be a complete waste of time without positive result.  It look like I will need to take my business elsewhere.",2024,09,September,2024,28.0,2.0,low
30,US,Goodbye Amazon,Goodbye Amazon. You have also sent your customer service overseas and as usual it sucks. Our family is done with you. ,2024,09,September,2024,5.0,1.0,low
31,GB,I ordered a phone case from amazon and…,I ordered a phone case from amazon and the case wasn’t even the right one it took so long to deliver and now these prcks haven’t even giving me the right one fck amazon,2024,09,September,2024,2.0,1.0,low
32,GB,No Packaging,"Often buy through Amazon and never really have any problem . Have had drivers leave parcel at front door in full view of the road and then return to van without even knocking or ringing the bell. but still surprised at all of the negative reviews.My complaint with my recent order is the fact it did not come in ANY packaging.Trainers for my adult son arrived with NO packaging at all, just in their shoe box which was not even taped down.The lid was actually open.I had left a note on door to say please leave over gate if I’m out, so glad I was back home as it was pouring with rain and would have had sodden box and shoes.Guess this is down to the seller.",2024,09,September,2024,102.0,4.0,high
33,US,This company may have quanity but not…,"This company may have quanity but not quality and customer service is pathetic. Try to resolve an issue, can’t gotta talk to the computer. This is not customer service, but hey Bezos enjoy that new Gulf Stream while your Customers goes elsewhere for there goods. ",2024,09,August,2024,1.0,1.0,low
34,GB,Amazon locked my account,"Amazon locked my account, no idea why, sent an email saying that after completing form, which i did, they would be in contact within 24hrs. I had no access to prime or amazon music while it was on hold . after 26 hours I attempted to contact them.No callback service available so I found an american number and was transferred to a call centre . I was told that it would now be 48hrs !  no explanation, refused access to a supervisor or information about the complaints procedure, (  I could hear someone in the background instructing the call handler to finish the call) I was on the phone for over 36 minutes after being told several times to ""wait 2 minutes"".   This is not customer service as they claimed . I wont be wasting my time with them again and will go back to shopping in the more traditional stores .",2024,09,September,2024,8.0,1.0,low
35,IN,I ordered 2 sets of Cushions,I ordered 2 sets of Cushions. Each set had 5 numbers of cushions.The delivery guy just delivered 1 set only. The stupid unfriendly app does not have any place to capture it. Inspite of putting it in product review and delivery review no one from the company is interested in resolving my concern. I rated 1 star because there is no scope to score less than that here.,2024,09,August,2024,1.0,1.0,low
36,GB,I have ordered spray glue through…,"I have ordered spray glue through Amazon, the item arrived damaged and unusable, reading customers view with similar problem the seller won't pay for return the item. tried to write view about this item the message I received from Amazon was "" this account has not met the minimum eligibility requirements to write a review.Amazon policy sweep the dirt under the carpet.",2024,09,September,2024,49.0,1.0,low
37,CA,I will NEVER get prime again,I will NEVER get prime again. When I pay for prime I expect an order within days not months. The customer service stinks with Amazon.,2024,09,September,2024,2.0,1.0,low
38,GB,VERY POOR SERVICE,"For the last 2 - 3 weeks the Amazon delivery driver has NOT been complying with delivery instructions. He leaves parcels/packages outside my front door (even in the rain), does NOT ring the doorbell & drives off.I've complained to the Customer Service Centre 4 times, to No Avail. On my front door is an A3 sign saying ""PLEASE LEAVE PACKAGES IN THE UNLOCKED PORCH"".AMAZON HAS NO CONTROL ON WHO IT EMPLOYS & does Not give TRAINING.",2024,09,September,2024,39.0,1.0,low
40,US,Unrivaled Prices and Stellar Customer Service,"As a seasoned Amazon customer for nearly 30 years, I'm compelled to express my unwavering admiration for this company that will rule the world. Amazon consistently offers the most competitive prices across a vast array of products, ensuring that shoppers can always find the best deals. But what truly sets Amazon apart is its unparalleled customer service. The staff is incredibly responsive, knowledgeable, and dedicated to resolving any issues promptly and efficiently. Whether I've encountered a problem with an order, had questions about a product, or simply needed guidance, Amazon's customer support team has always exceeded my expectations. They go above and beyond to ensure satisfaction..Amazon's commitment to customer satisfaction is evident in every interaction. I have always felt confident and supported when shopping on Amazon. I highly recommend Amazon to anyone seeking a reliable and customer-centric online shopping experience. ",2024,09,March,2024,9.0,5.0,high
41,GB,Get so fed up with Amazon,"Get so fed up with Amazon.  I pay annually for the 'privilege' of free next day delivery etc. Nine times out of 10 I get to checkout and find that the goods offered as next day delivery could actually be any number of days, even weeks away.  Today I've been waiting for a small package which should be delivered by 10pm, it's now 9.20pm and tracking shows it's not even despatched!  Amazon customer dis-service robot says it will  be delivered today although they only have the same information that I  have. Tomorrow I  shall receive the usual ""it's been delayed"" email from Amazon and I  will refuse to take delivery when it eventually arrives. There's no compensation for lost or delayed items, we pay for a poor, unwieldy service.   Not good enough Amazon!",2024,09,September,2024,76.0,1.0,low
42,US,Customer support is horrible the worst…,Customer support is horrible the worst in the industry Their phone support went to shXXT I will cancel my Prime and deal with another company—Amazon rather than farm their out support. DO NOT DEAL WITH THEM,2024,09,September,2024,7.0,1.0,low
43,US,Delivery instructions don't mean anything to Amazon,"If I could give Amazon a zero i would. I have a PO Box so I filled out Amazon's delivery instructions but they can't seem to follow the hours of operation of the UPS store where my PO Box is located. They have tried to deliver 13 of my orders after the UPS store was closed since January. I'm done with Amazon, prices aren't as good anymore and since I'm driving to thr UPS store to pickup my packages it isn't saving me money. Ever since they stopped using UPS and Fedex to make their deliveries their service has sucked!",2024,09,September,2024,1.0,1.0,low
44,US,Horrible company now. I bought a RV exhaust fit cover…,I bought a RV exhaust fit cover canceled it same day because it was the wrong one I've been told two times it's going to be there back in my account the $14.05 in 3 to 5 days called back after 3 to 5 days told the same thing now I called back I'm told that it was never charged even though I'm showing it right here on my bank account has charged and was told twice it was coming back..... Amazon just effectively stole my money! They've gone to trash company! ,2024,09,September,2024,2.0,1.0,low
45,US,They charged me for items I returned and it is nearly $1000 worth of stuff. I am blown away. Some of these were UPS pickups from the house too.,They do such a poor job of tracking your returns! I have tallied up nearly $1000 worth of returns that they charged me for even though I returned the items. Many in their original packaging or with original manufacturer box that it came in. I am going to figure out how to get away from Amazon and rid it from my life. I can't believe how much they have stolen!!!,2024,09,September,2024,1.0,1.0,low
46,AU,Absolutely useless,"Absolutely useless. Wants credit card details for payment before anything happens, NO other payment options such as PayPal or any of the others we have here in Australia. Definitely avoid. Stick with Better online auction buying platforms. ",2024,09,September,2024,2.0,1.0,low
47,US,1) Product reviews are mostly bots and…,1) Product reviews are mostly bots and they don't care2) They don't ever pack my stuff right. I've had to return 2 things in the past month alone3) If you leave an honest review about a company and the company doesn't like it they will have it removed.4) The way they treat their employees is laughably terrible,2024,09,September,2024,7.0,1.0,low
48,GB,Soooo annoyed with Amazon rubbish…,"Soooo annoyed with Amazon rubbish delivery service. Placed an order yesterday, delivery due today, paid premium delivery cost and now on a Saturday night I've got to wait until between 8pm and 10pm. ITS SATURDAY NIGHT AND I CAN'T GO OUT. WILL BE USING OTHER ONLINE SERVICES FROM NOW ON. SOOO ANGRY 😖.Even tried calling customer services and just got through to a daft chat bot. Can some young entrepreneur reading this please come up with a better more efficient solution/ service that not only looks after its staff but also provides a better delivery service. ( Take it to Dragons Den ) Really, two printer cartridges and I've potentially got to wait until 10pm on a Saturday night?  URRGGGGHHHH😖",2024,09,September,2024,14.0,1.0,low
49,GB,Refuse to refund me,"What a horrible experience with amazon where they refuse refund you when you bought an item, they send you the wrong item out and when it comes to getting a refund they just keep saying 7days. Now this item wasn't even the same brand, was a cheap 16inch one where mine was 18 inch monster not going into detail of how much but it was expensive. If you been in the same situation before what did you do because I'm getting no where. I've also spoken to them on the phone and they hung up on me, twice. This conversation has happened every 7 days since the 16th July, just going round in circles.",2024,09,July,2024,1.0,1.0,low
50,GB,My product was left on the street porch…,"My product was left on the street porch where anyone could pick it up and steal it. I was at home all day waiting for this but the person handling my delivery never bothered to even ring the door bell or anything, just left it outside.I am very disappointed in such service. If it wasn't for the email notification letting me know my parcel had been delivered, I wouldn't have know to look for it as fast as I did.I highly recommend NOT using their delivery services. They are the worst.",2024,09,September,2024,1.0,1.0,low
51,AE,Amazon has the worst delivery service I…,"Amazon has the worst delivery service I have ever experienced. Their coordination and communication are severely lacking. I provided a designated delivery schedule for my order during office hours, as no one is present to receive packages at night. Despite this, they attempted to deliver my order at night when no one was available. Even worse, they threaten to leave the package outside the office. I strongly advise against leaving items unattended; it creates unnecessary risk. They continue to make promises and apologies, saying it won't happen again, yet the same issues persist. The information in the app often doesn't match reality. I placed an order, but there has been no update on my delivery, despite my follow-up inquiries. As a Prime member, my experience has been disappointing; it feels like there is no priority for members. Overall, I am incredibly frustrated by their service, and it seems that they do not care about their customers at all.",2024,09,September,2024,2.0,1.0,low
52,GB,Another delivery left in the street.,package was delivered but i didn't hear a knock on the door and only noticed the email half an hour later. The email said the package was handed to me but was left on the pavement outside my property.luckily it was still there and not taken by anyone.,2024,09,September,2024,4.0,1.0,low
53,GB,CUSTUMER SERVICE IN THE UK SO GOOD!!,CUSTUMER SERVICE IN THE UK SO GOOD!!! MY DAD WRONGLY ORDERED SOMETHING TO MY ADRESS. WE GOT REFUNDED IN A MATTER OF SECONDS!! USE THE CUSTOMER SERVICE CHAT IN THE FUTURE IF YOU NEED SOMETHING.,2024,09,September,2024,1.0,5.0,high
54,GB,More lies from this company and thier…,More lies from this company and thier couriers.i was in the front garden at the time it was said to be delivered!!!!!!! No sign of any delivery all day. UTTER LIES. I will NEVER use Amazon again. I have deleted everything to do with them. CRIMINAL COMPANY,2024,09,September,2024,14.0,1.0,low
55,US,Seal plush amazon,i made a purchase of a seal plush that was viral on the internet. instead of going to the website they made it i went to amazon. Service and quality were both good.,2024,09,August,2024,1.0,5.0,high
56,NZ,Yikes terrible!,"Yikes!  Terrible customer service.  Ordered 6 bottles of vitamins, and only 1 arrived.  Took a video of unopened bag clearly showing sealed and only 1 bottle inside.  After wasting 40 minutes chatting to an agent, told I need to return for a refund, which may take 1-2 months!  Instead of just sending the missing bottles.  Crazy!",2024,09,September,2024,11.0,1.0,low
57,US,Racist behavior,"""I have a foreign name, and yes, I am foreign. But that does not excuse the abysmal behavior of Amazon's customer representative. After being connected to an Amazon agent, she asked for my name. Once I said it, she immediately transferred me, without asking, to a Spanish-speaking representative — and I do not speak Spanish.Was she instructed to assume that all foreigners are Latinos, or that none of them speak English? Or were those her own biases? Either way, this episode reflects terribly on Amazon",2024,09,September,2024,3.0,1.0,low
58,GB,Brilliant service ,I can’t fault their delivery service. From the purchases I’ve made I’ve had one occasion where they sent the wrong item.  They were fantastic in lockdown and still continue the same service. Customer service is excellent too ,2024,09,September,2024,50.0,5.0,high
59,GB,Customer service is circular,"Customer service is circular, frustrating and completely unhelpful. Even ringing the company directly requires you to log in on a computer or phone which is impossible to do if that is the issue you are ringing about. Intentionally and maliciously obtuse.",2024,09,September,2024,2.0,1.0,low
60,GB,My account was hacked last night,My account was hacked last night. I've tried six times now to get a call back from customer service. Every one has been cancelled. I was going to write more - until I saw what a dire score Amazon have got on here already. Onlookers - be warned.,2024,09,September,2024,12.0,1.0,low
61,AE,Amazon have zero control over 3rd party…,"Amazon have zero control over 3rd party sellers. They take no responsibility for orders. Despite being charged for shipping I had to pay additional to the courier company to receive the order, as 3rd party seller chose a shipping option that didn't cover delivery door to door. I then received an open box product which was not mentioned and again amazon did nothing. To send the order back I need to pay again for the shipping, again amazon did nothing. Absolutely disgraceful.",2024,09,August,2024,1.0,1.0,low
62,US,Unreliable Service and Pricing Discrepancy,"I typically don't take the time to share reviews, but my recent experience with Amazon has been deeply frustrating and deserves to be addressed.As an HVAC business, I rely heavily on timely and reliable deliveries. I placed an order for a 16"" duct, which was crucial for one of our ongoing projects. The order came with a guaranteed delivery date that Amazon failed to meet. After several unsuccessful attempts to reach Amazon (with no accessible customer service contact numbers or direct support options), I was forced to contact the third-party seller directly. The seller assured me that the product had been dispatched on time and advised me to resolve the issue with Amazon. Despite being provided with a phone number that I could not find anywhere on Amazon’s platform, I eventually managed to speak with an Amazon representative. I was informed that the product had been lost, and while a refund was issued, the real issue remains unresolved.I need the material, not just a refund. When I attempted to reorder the product, I discovered that the price had increased by $150 — an unjustifiable increase given the circumstances. I explained the situation to the representative, emphasizing that I had already quoted my customer the original price and could not go back to them with an unexplained price hike. In summary, my experience with Amazon has been one of misleading pricing, unreliable delivery, and a lack of customer support. This has caused significant delays for my business and damaged my relationship with my customer.I expect Amazon to resolve this by honoring the original price and ensuring the prompt delivery of the product.Sincerely,  Alex Garcia  Attic Crawl Inc.",2024,09,September,2024,3.0,1.0,low
63,IL,Excellent Shopping Experience on Amazon,"I’ve been using Amazon for several years, and it consistently delivers a great shopping experience. The website is user-friendly, making it easy to find what I need quickly. From books to electronics, the variety of products is impressive. The customer reviews are helpful in making informed decisions, and I’ve found the delivery to be fast and reliable. In the rare instance I’ve needed to return an item, the process was smooth and hassle-free. Overall, Amazon provides convenience and value, and I highly recommend it to others.",2024,09,September,2024,9.0,5.0,high
64,NL,Account hold & closed with no explaination ,"I submitted every document they requested, and they reply me with ""We closed your account""?? They said contact customer service if I think this was a mistake, but the thing is THERE IS NO CUSTOMER SERVICE if I dont have an account! Gotta do better uncle Jeff",2024,09,September,2024,2.0,1.0,low
65,GB,Excellent customer service seems to be a thing of the past,"You could say a lot of things about Amazon, but historically they have had very good customer service. This seems to no longer be the case. I've wasted an hour and a half on an online chat and a phone call. Had to repeat myself many times and was given inaccurate information - total waste of time. In the end they gave me a £5 gift card in recognition of my poor experience, which I found a bit insulting under the circumstances",2024,09,September,2024,31.0,1.0,low
66,US,I placed a order September 9 2024,I placed a order September 9 2024They said I get it on September 12 on the day delivery day I get a text saying the delivery day has changed to September 18This is not going to work for me I am a prim member and I have to wait this long. Well I don't want it then but I have wait until September 19 to return it .I can understand the next day .this is not the way to do business ,2024,09,September,2024,4.0,1.0,low
67,US,I returned a product using my Amazon…,"I returned a product using my Amazon Prime card, product was return and a refund should have been issued to my Prime Card, but no they went and issued me a gift card without any notification through mail, email or account. Never sent me a code or card in case I wanted to use my funds to my balance. What kind of service is that. If I would have used my bank card or any other credit card how would have my funds been returned? I went to make a quick purchase again using my prime card and the site went using my gift card without giving me an option on my card. Now that I innocently used the gift card they don’t want to send me a gift card or apply remaining balance to my account where it should have been placed from beginning. How unprofessional and frustrating this is when any time there is a return it is to be given back to the card used not how ever they chose. If I would have paid cash then yes I can understand a gift card but NO CASH WAS USED. I want my funds added to my account or a gift card sent out that can be used to make payment to my card. What horrible service Amazon is giving. ",2024,09,September,2024,1.0,1.0,low
68,IN,Amazon india the worst customer service…,Amazon india the worst customer service company compared to amazon anywhere else in the world. Agents are bloody third class idiat. They know nothing and they will waste ur time understanding ur problem. Amazon india is selling duplicate products. They dont offer hassle free refunds. I purchased a table fountain from themAnd the day i opened the box it was defective. They agreed to pick up the unit the next day. As expected they did not and when contacted they put a status that customer refused to the deliver the product. Just see these idiat. Then when i contacted them they said investigation is on and it will take another 4 days to resolve the issue. After 4 days when in contacted these rascals they are saying that their investigation is complete and nothing is wrong and they cannot helpWith the refund. What should i say now? Just see their bloody service. They should be taken to court for cheating and fraud moral of the story do not i repeat do not buy expensive products from amazon better go to a showroom and get one u can feel touch and get a view of the unit and decide. With amazon u will face a hard time. Third class e commerce site never to buy again,2024,09,September,2024,4.0,1.0,low
69,US,Horrible horrendous company Amazon Fresh,Horrible horrendous company. Amazon Fresh just delivered damaged products and expired item and refuse to refund me unless I send pictures. They keep delivering my order and not following instructions. I’m going to Walmart delivery service if they don’t get it together. This is so frustrating!,2024,09,September,2024,3.0,1.0,low
70,US,Today September 4th 2024 finding out…,Today September 4th 2024 finding out that your Amazon employees have rigged Alexa to actually say when asked about Donald Trump that they can't comment on politics but when asked about Kamala Harris they go into a whole bio. this is absolutely disgusting ! This will definitely influence my buying from you people. You probably don't give a damn whether I buy from you or not but hopefully there's others that feel the same way. Disgusting,2024,09,September,2024,1.0,1.0,low
71,US,Amazon Failing,"Ordered August 30th, the first one, for an elderly relative who can no longer hear the phone ring. Nurses cannot get a hold of him daily. Amazon said ""It got lost"", then empty promises from Amazon Customer Service and Supervisors. Waited and then decided to order another on Amazon. My profile specifically says ""Open 730 AM to 900 PM"". That Delivery person tried at 612 AM. HELLO READ YOUR INSTRUCTIONS PS, that one is now lost, again Amazon Customer Service is useless...…..""3rd Time They Said Tomorrow"" It is now September 5, 2024 - Think they exceeded their business model. Walmart, Target and eBay are quicker and now carry almost everything. ",2024,09,September,2024,1.0,1.0,low
72,US,"Retailers aren't reading about ""operating temperatures"" for outdoor electronics","I bought outdoor water timers for garden and yard from Amazon, and the cheaper foreign brands have failed. So did many of my plants. I read the manuals and they say that the maximum operating temperature is less than 110 degrees Fahrenheit. Amazon wouldn't refund my money, I reached them by phone and told them that Amazon needed to discontinue selling products that are not rated to be used in regions that experience higher temperatures than stated in product manuals. This is going to be a huge problem in the future, plastics, electronics and other temperature sensitive outdoor products will degrade or stop working and retailers should make operating temperatures a basic factor in choosing products to sell to consumers. In 2024 Phoenix, Arizona had 64 days when temperatures were 110 or above. Lawnmowers, outdoor equipment, hoses, lawn furniture and other products will have to be modified to withstand higher temperatures or they are going to fail or wear out much sooner than in the past. Geologist in Arizona",2024,09,August,2024,16.0,1.0,low
